,ws,Technology,par,unit,est,year,val
158,ptes seasonal,pit thermal energy storage [ptes],hereof installation,percent,control,2040,25.0
159,ptes seasonal,pit thermal energy storage [ptes],hereof installation,percent,control,2050,25.0
160,ptes seasonal,pit thermal energy storage [ptes],fixed o&m,EUR_2020/GWh/year,lower,2020,2500000.0
161,ptes seasonal,pit thermal energy storage [ptes],fixed o&m,EUR_2020/GWh/year,lower,2050,2500000.0
162,ptes seasonal,pit thermal energy storage [ptes],fixed o&m,EUR_2020/GWh/year,upper,2020,2500000.0
163,ptes seasonal,pit thermal energy storage [ptes],fixed o&m,EUR_2020/GWh/year,upper,2050,2500000.0
164,ptes seasonal,pit thermal energy storage [ptes],fixed o&m,EUR_2020/GWh/year,control,2020,2500000.0
165,ptes seasonal,pit thermal energy storage [ptes],fixed o&m,EUR_2020/GWh/year,control,2025,2500000.0
166,ptes seasonal,pit thermal energy storage [ptes],fixed o&m,EUR_2020/GWh/year,control,2030,2500000.0
167,ptes seasonal,pit thermal energy storage [ptes],fixed o&m,EUR_2020/GWh/year,control,2035,2500000.0
168,ptes seasonal,pit thermal energy storage [ptes],fixed o&m,EUR_2020/GWh/year,control,2040,2500000.0
169,ptes seasonal,pit thermal energy storage [ptes],fixed o&m,EUR_2020/GWh/year,control,2050,2500000.0
170,ptes seasonal,pit thermal energy storage [ptes],specific investment,EUR_2020/GWh,lower,2020,903000.0
171,ptes seasonal,pit thermal energy storage [ptes],specific investment,EUR_2020/GWh,lower,2050,744000.0
172,ptes seasonal,pit thermal energy storage [ptes],specific investment,EUR_2020/GWh,upper,2020,1222000.0
173,ptes seasonal,pit thermal energy storage [ptes],specific investment,EUR_2020/GWh,upper,2050,1062000.0
174,ptes seasonal,pit thermal energy storage [ptes],specific investment,EUR_2020/GWh,control,2020,1062000.0
175,ptes seasonal,pit thermal energy storage [ptes],specific investment,EUR_2020/GWh,control,2025,1062000.0
176,ptes seasonal,pit thermal energy storage [ptes],specific investment,EUR_2020/GWh,control,2030,1062000.0
177,ptes seasonal,pit thermal energy storage [ptes],specific investment,EUR_2020/GWh,control,2035,1062000.0
178,ptes seasonal,pit thermal energy storage [ptes],specific investment,EUR_2020/GWh,control,2040,983000.0
179,ptes seasonal,pit thermal energy storage [ptes],specific investment,EUR_2020/GWh,control,2050,903000.0
180,ptes seasonal,pit thermal energy storage [ptes],variable o&m,EUR_2020/MWh,lower,2020,0.0
